question,answer,predicted_answer,concept,hypernym,correct,illegal
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there an animal in this image?",Yes,yes,aardvark,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,aardvark,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,aardvark,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,aardvark,animal,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a furniture in this image?",Yes,yes,air_mattress,furniture,True,False
"<image>
Is there a furniture in this image?",Yes,yes,air_mattress,furniture,True,False
"<image>
Is there a furniture in this image?",Yes,yes,air_mattress,furniture,True,False
"<image>
Is there a furniture in this image?",Yes,yes,air_mattress,furniture,True,False
"<image>
Is there a musical instrument in this image?",No,no,air_mattress,musical,True,False
"<image>
Is there a musical instrument in this image?",No,no,air_mattress,musical,True,False
"<image>
Is there a musical instrument in this image?",No,no,air_mattress,musical,True,False
"<image>
Is there a musical instrument in this image?",No,no,air_mattress,musical,True,False
"<image>
Is there a car part in this image?",Yes,yes,airbag,car part,True,False
"<image>
Is there a car part in this image?",Yes,yes,airbag,car part,True,False
"<image>
Is there a car part in this image?",Yes,yes,airbag,car part,True,False
"<image>
Is there a car part in this image?",Yes,yes,airbag,car part,True,False
"<image>
Is there footwear in this image?",No,yes,airbag,footwear,False,False
"<image>
Is there footwear in this image?",No,no,airbag,footwear,True,False
"<image>
Is there footwear in this image?",No,no,airbag,footwear,True,False
"<image>
Is there footwear in this image?",No,no,airbag,footwear,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,airboat,piece of women's clothing,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,airboat,piece of women's clothing,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,airboat,piece of women's clothing,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,airboat,piece of women's clothing,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,no,airboat,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vegetable in this image?",No,no,aircraft_carrier,vegetable,True,False
"<image>
Is there a vegetable in this image?",No,no,aircraft_carrier,vegetable,True,False
"<image>
Is there a vegetable in this image?",No,no,aircraft_carrier,vegetable,True,False
"<image>
Is there a vegetable in this image?",No,no,aircraft_carrier,vegetable,True,False
"<image>
Is there a vegetable in this image?",No,no,aircraft_carrier,vegetable,True,False
"<image>
Is there a vegetable in this image?",No,no,aircraft_carrier,vegetable,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a home appliance in this image?",No,no,aircraft_carrier,home appliance,True,False
"<image>
Is there a home appliance in this image?",No,no,aircraft_carrier,home appliance,True,False
"<image>
Is there a home appliance in this image?",No,no,aircraft_carrier,home appliance,True,False
"<image>
Is there a home appliance in this image?",No,no,aircraft_carrier,home appliance,True,False
"<image>
Is there a home appliance in this image?",No,no,aircraft_carrier,home appliance,True,False
"<image>
Is there a home appliance in this image?",No,no,aircraft_carrier,home appliance,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a weapon in this image?",No,no,alpaca,weapon,True,False
"<image>
Is there a weapon in this image?",No,no,alpaca,weapon,True,False
"<image>
Is there a weapon in this image?",No,no,alpaca,weapon,True,False
"<image>
Is there a weapon in this image?",No,no,alpaca,weapon,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there a clothing accessory in this image?",No,no,alpaca,clothing accessory,True,False
"<image>
Is there a clothing accessory in this image?",No,no,alpaca,clothing accessory,True,False
"<image>
Is there a clothing accessory in this image?",No,no,alpaca,clothing accessory,True,False
"<image>
Is there a clothing accessory in this image?",No,no,alpaca,clothing accessory,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there sports equipment in this image?",No,no,ambulance,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,no,ambulance,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,yes,ambulance,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,ambulance,sports equipment,False,False
"<image>
Is there an insect in this image?",Yes,yes,ant,insect,True,False
"<image>
Is there an insect in this image?",Yes,yes,ant,insect,True,False
"<image>
Is there an insect in this image?",Yes,yes,ant,insect,True,False
"<image>
Is there a plant in this image?",No,yes,ant,plant,False,False
"<image>
Is there a plant in this image?",No,yes,ant,plant,False,False
"<image>
Is there a plant in this image?",No,yes,ant,plant,False,False
"<image>
Is there an animal in this image?",Yes,yes,ant,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,ant,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,ant,animal,True,False
"<image>
Is there a hardware item in this image?",No,no,ant,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,ant,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,ant,hardware item,True,False
"<image>
Is there a mammal in this image?",Yes,yes,anteater,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,anteater,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,anteater,mammal,True,False
"<image>
Is there an insect in this image?",No,yes,anteater,insect,False,False
"<image>
Is there an insect in this image?",No,yes,anteater,insect,False,False
"<image>
Is there an insect in this image?",No,yes,anteater,insect,False,False
"<image>
Is there an animal in this image?",Yes,yes,anteater,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,anteater,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,anteater,animal,True,False
"<image>
Is there a vehicle in this image?",No,no,anteater,vehicle,True,False
"<image>
Is there a vehicle in this image?",No,no,anteater,vehicle,True,False
"<image>
Is there a vehicle in this image?",No,no,anteater,vehicle,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there sports equipment in this image?",No,no,anvil,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,no,anvil,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,no,anvil,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,no,anvil,sports equipment,True,False
"<image>
Is there a food in this image?",Yes,yes,apple,food,True,False
"<image>
Is there a food in this image?",Yes,yes,apple,food,True,False
"<image>
Is there a food in this image?",Yes,yes,apple,food,True,False
"<image>
Is there a car part in this image?",No,no,apple,car part,True,False
"<image>
Is there a car part in this image?",No,no,apple,car part,True,False
"<image>
Is there a car part in this image?",No,no,apple,car part,True,False
"<image>
Is there a fruit in this image?",Yes,yes,apple,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,apple,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,apple,fruit,True,False
"<image>
Is there a source of light in this image?",No,no,apple,source of light,True,False
"<image>
Is there a source of light in this image?",No,no,apple,source of light,True,False
"<image>
Is there a source of light in this image?",No,no,apple,source of light,True,False
"<image>
Is there a plant in this image?",Yes,yes,apple_tree,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,apple_tree,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,apple_tree,plant,True,False
"<image>
Is there an office supply item in this image?",No,no,apple_tree,office supply item,True,False
"<image>
Is there an office supply item in this image?",No,no,apple_tree,office supply item,True,False
"<image>
Is there an office supply item in this image?",No,no,apple_tree,office supply item,True,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a protective clothing item in this image?",Yes,no,apron,protective clothing item,False,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a dessert in this image?",No,no,apron,dessert,True,False
"<image>
Is there a dessert in this image?",No,no,apron,dessert,True,False
"<image>
Is there a dessert in this image?",No,no,apron,dessert,True,False
"<image>
Is there a dessert in this image?",No,no,apron,dessert,True,False
"<image>
Is there an item of clothing in this image?",Yes,no,apron,item of clothing,False,False
"<image>
Is there an item of clothing in this image?",Yes,no,apron,item of clothing,False,False
"<image>
Is there an item of clothing in this image?",Yes,no,apron,item of clothing,False,False
"<image>
Is there an item of clothing in this image?",Yes,yes,apron,item of clothing,True,False
"<image>
Is there a drink in this image?",No,no,apron,drink,True,False
"<image>
Is there a drink in this image?",No,no,apron,drink,True,False
"<image>
Is there a drink in this image?",No,no,apron,drink,True,False
"<image>
Is there a drink in this image?",No,no,apron,drink,True,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there an outerwear in this image?",Yes,no,apron,outerwear,False,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there a game in this image?",No,no,apron,game,True,False
"<image>
Is there a game in this image?",No,no,apron,game,True,False
"<image>
Is there a game in this image?",No,no,apron,game,True,False
"<image>
Is there a game in this image?",No,no,apron,game,True,False
"<image>
Is there a food in this image?",Yes,yes,artichoke,food,True,False
"<image>
Is there a food in this image?",Yes,yes,artichoke,food,True,False
"<image>
Is there a food in this image?",Yes,yes,artichoke,food,True,False
"<image>
Is there a hardware item in this image?",No,no,artichoke,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,artichoke,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,artichoke,hardware item,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,artichoke,vegetable,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,artichoke,vegetable,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,artichoke,vegetable,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,artichoke,piece of women's clothing,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,artichoke,piece of women's clothing,True,False
"<image>
Is there a piece of women's clothing in this image?",No,no,artichoke,piece of women's clothing,True,False
"<image>
Is there a plant in this image?",Yes,yes,artichoke,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,artichoke,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,artichoke,plant,True,False
"<image>
Is there a watercraft in this image?",No,no,artichoke,watercraft,True,False
"<image>
Is there a watercraft in this image?",No,no,artichoke,watercraft,True,False
"<image>
Is there a watercraft in this image?",No,no,artichoke,watercraft,True,False
"<image>
Is there a food in this image?",Yes,yes,arugula,food,True,False
"<image>
Is there a food in this image?",Yes,yes,arugula,food,True,False
"<image>
Is there a food in this image?",Yes,yes,arugula,food,True,False
"<image>
Is there a food in this image?",Yes,yes,arugula,food,True,False
"<image>
Is there medical equipment in this image?",No,no,arugula,medical equipment,True,False
"<image>
Is there medical equipment in this image?",No,no,arugula,medical equipment,True,False
"<image>
Is there medical equipment in this image?",No,no,arugula,medical equipment,True,False
"<image>
Is there medical equipment in this image?",No,no,arugula,medical equipment,True,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a drink in this image?",No,no,arugula,drink,True,False
"<image>
Is there a drink in this image?",No,no,arugula,drink,True,False
"<image>
Is there a drink in this image?",No,no,arugula,drink,True,False
"<image>
Is there a drink in this image?",No,no,arugula,drink,True,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there an arts and crafts item in this image?",No,yes,ashtray,arts and crafts item,False,False
"<image>
Is there an arts and crafts item in this image?",No,no,ashtray,arts and crafts item,True,False
"<image>
Is there an arts and crafts item in this image?",No,no,ashtray,arts and crafts item,True,False
"<image>
Is there an arts and crafts item in this image?",No,no,ashtray,arts and crafts item,True,False
"<image>
Is there a food in this image?",Yes,yes,asparagus,food,True,False
"<image>
Is there a food in this image?",Yes,yes,asparagus,food,True,False
"<image>
Is there a food in this image?",Yes,yes,asparagus,food,True,False
"<image>
Is there a source of light in this image?",No,no,asparagus,source of light,True,False
"<image>
Is there a source of light in this image?",No,no,asparagus,source of light,True,False
"<image>
Is there a source of light in this image?",No,no,asparagus,source of light,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,asparagus,vegetable,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,asparagus,vegetable,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,asparagus,vegetable,True,False
"<image>
Is there a furniture in this image?",No,no,asparagus,furniture,True,False
"<image>
Is there a furniture in this image?",No,no,asparagus,furniture,True,False
"<image>
Is there a furniture in this image?",No,no,asparagus,furniture,True,False
"<image>
Is there a plant in this image?",Yes,yes,asparagus,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,asparagus,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,asparagus,plant,True,False
"<image>
Is there a piece of jewelry in this image?",No,no,asparagus,piece of jewelry,True,False
"<image>
Is there a piece of jewelry in this image?",No,no,asparagus,piece of jewelry,True,False
"<image>
Is there a piece of jewelry in this image?",No,no,asparagus,piece of jewelry,True,False
"<image>
Is there a food in this image?",Yes,yes,avocado,food,True,False
"<image>
Is there a food in this image?",Yes,yes,avocado,food,True,False
"<image>
Is there a food in this image?",Yes,yes,avocado,food,True,False
"<image>
Is there a food in this image?",Yes,yes,avocado,food,True,False
"<image>
Is there an insect in this image?",No,no,avocado,insect,True,False
"<image>
Is there an insect in this image?",No,no,avocado,insect,True,False
"<image>
Is there an insect in this image?",No,no,avocado,insect,True,False
"<image>
Is there an insect in this image?",No,no,avocado,insect,True,False
"<image>
Is there a fruit in this image?",Yes,yes,avocado,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,avocado,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,avocado,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,avocado,fruit,True,False
"<image>
Is there a home decor item in this image?",No,no,avocado,home decor item,True,False
"<image>
Is there a home decor item in this image?",No,no,avocado,home decor item,True,False
"<image>
Is there a home decor item in this image?",No,no,avocado,home decor item,True,False
"<image>
Is there a home decor item in this image?",No,no,avocado,home decor item,True,False
"<image>
Is there a tool in this image?",Yes,yes,axe,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,axe,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,axe,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,axe,tool,True,False
"<image>
Is there a kitchen appliance in this image?",No,no,axe,kitchen appliance,True,False
"<image>
Is there a kitchen appliance in this image?",No,no,axe,kitchen appliance,True,False
"<image>
Is there a kitchen appliance in this image?",No,no,axe,kitchen appliance,True,False
"<image>
Is there a kitchen appliance in this image?",No,no,axe,kitchen appliance,True,False
"<image>
Is there a hardware item in this image?",Yes,yes,axe,hardware item,True,False
"<image>
Is there a hardware item in this image?",Yes,yes,axe,hardware item,True,False
"<image>
Is there a hardware item in this image?",Yes,yes,axe,hardware item,True,False
"<image>
Is there a hardware item in this image?",Yes,yes,axe,hardware item,True,False
"<image>
Is there headwear in this image?",No,no,axe,headwear,True,False
"<image>
Is there headwear in this image?",No,no,axe,headwear,True,False
"<image>
Is there headwear in this image?",No,no,axe,headwear,True,False
"<image>
Is there headwear in this image?",No,no,axe,headwear,True,False
"<image>
Is there a garden tool in this image?",Yes,yes,axe,garden tool,True,False
"<image>
Is there a garden tool in this image?",Yes,yes,axe,garden tool,True,False
"<image>
Is there a garden tool in this image?",Yes,yes,axe,garden tool,True,False
"<image>
Is there a garden tool in this image?",Yes,yes,axe,garden tool,True,False
"<image>
Is there footwear in this image?",No,no,axe,footwear,True,False
"<image>
Is there footwear in this image?",No,no,axe,footwear,True,False
"<image>
Is there footwear in this image?",No,no,axe,footwear,True,False
"<image>
Is there footwear in this image?",No,no,axe,footwear,True,False
"<image>
Is there a weapon in this image?",Yes,yes,axe,weapon,True,False
"<image>
Is there a weapon in this image?",Yes,yes,axe,weapon,True,False
"<image>
Is there a weapon in this image?",Yes,yes,axe,weapon,True,False
"<image>
Is there a weapon in this image?",Yes,no,axe,weapon,False,False
"<image>
Is there a musical instrument in this image?",No,no,axe,musical,True,False
"<image>
Is there a musical instrument in this image?",No,no,axe,musical,True,False
"<image>
Is there a musical instrument in this image?",No,no,axe,musical,True,False
"<image>
Is there a musical instrument in this image?",No,no,axe,musical,True,False
"<image>
Is there a tool in this image?",Yes,yes,backscratcher,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,backscratcher,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,backscratcher,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,backscratcher,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,backscratcher,tool,True,False
"<image>
Is there sports equipment in this image?",No,yes,backscratcher,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,backscratcher,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,backscratcher,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,backscratcher,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,backscratcher,sports equipment,False,False
"<image>
Is there a mammal in this image?",Yes,yes,badger,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,badger,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,badger,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,badger,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,badger,mammal,True,False
