question,answer,predicted_answer,concept,hypernym,correct,illegal
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,aardvark,mammal,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there a body part in this image?",No,no,aardvark,body part,True,False
"<image>
Is there an animal in this image?",Yes,no,aardvark,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,aardvark,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,aardvark,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,aardvark,animal,False,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,aardvark,hardware item,True,False
"<image>
Is there a musical instrument in this image?",Yes,yes,accordion,musical,True,False
"<image>
Is there a musical instrument in this image?",Yes,yes,accordion,musical,True,False
"<image>
Is there a musical instrument in this image?",Yes,no,accordion,musical,False,False
"<image>
Is there a musical instrument in this image?",Yes,yes,accordion,musical,True,False
"<image>
Is there a clothing accessory in this image?",No,yes,accordion,clothing accessory,False,False
"<image>
Is there a clothing accessory in this image?",No,yes,accordion,clothing accessory,False,False
"<image>
Is there a clothing accessory in this image?",No,yes,accordion,clothing accessory,False,False
"<image>
Is there a clothing accessory in this image?",No,yes,accordion,clothing accessory,False,False
"<image>
Is there an electronic device in this image?",Yes,yes,air_conditioner,electronic device,True,False
"<image>
Is there an electronic device in this image?",Yes,yes,air_conditioner,electronic device,True,False
"<image>
Is there an electronic device in this image?",Yes,yes,air_conditioner,electronic device,True,False
"<image>
Is there an electronic device in this image?",Yes,yes,air_conditioner,electronic device,True,False
"<image>
Is there sports equipment in this image?",No,yes,air_conditioner,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,air_conditioner,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,air_conditioner,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,air_conditioner,sports equipment,False,False
"<image>
Is there a home appliance in this image?",Yes,yes,air_conditioner,home appliance,True,False
"<image>
Is there a home appliance in this image?",Yes,yes,air_conditioner,home appliance,True,False
"<image>
Is there a home appliance in this image?",Yes,yes,air_conditioner,home appliance,True,False
"<image>
Is there a home appliance in this image?",Yes,yes,air_conditioner,home appliance,True,False
"<image>
Is there a game in this image?",No,yes,air_conditioner,game,False,False
"<image>
Is there a game in this image?",No,yes,air_conditioner,game,False,False
"<image>
Is there a game in this image?",No,yes,air_conditioner,game,False,False
"<image>
Is there a game in this image?",No,yes,air_conditioner,game,False,False
"<image>
Is there a furniture in this image?",Yes,no,air_mattress,furniture,False,False
"<image>
Is there a furniture in this image?",Yes,yes,air_mattress,furniture,True,False
"<image>
Is there a furniture in this image?",Yes,no,air_mattress,furniture,False,False
"<image>
Is there a furniture in this image?",Yes,no,air_mattress,furniture,False,False
"<image>
Is there a musical instrument in this image?",No,yes,air_mattress,musical,False,False
"<image>
Is there a musical instrument in this image?",No,yes,air_mattress,musical,False,False
"<image>
Is there a musical instrument in this image?",No,yes,air_mattress,musical,False,False
"<image>
Is there a musical instrument in this image?",No,yes,air_mattress,musical,False,False
"<image>
Is there a tool in this image?",Yes,yes,air_pump,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,air_pump,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,air_pump,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,air_pump,tool,True,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,air_pump,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,air_pump,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,air_pump,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,no,air_pump,piece of women's clothing,True,False
"<image>
Is there a car part in this image?",Yes,no,airbag,car part,False,False
"<image>
Is there a car part in this image?",Yes,no,airbag,car part,False,False
"<image>
Is there a car part in this image?",Yes,no,airbag,car part,False,False
"<image>
Is there a car part in this image?",Yes,no,airbag,car part,False,False
"<image>
Is there footwear in this image?",No,yes,airbag,footwear,False,False
"<image>
Is there footwear in this image?",No,yes,airbag,footwear,False,False
"<image>
Is there footwear in this image?",No,yes,airbag,footwear,False,False
"<image>
Is there footwear in this image?",No,yes,airbag,footwear,False,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airboat,vehicle,True,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,airboat,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,airboat,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,airboat,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,airboat,piece of women's clothing,False,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,airboat,watercraft,True,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,airboat,sports equipment,False,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,aircraft_carrier,vehicle,True,False
"<image>
Is there a vegetable in this image?",No,yes,aircraft_carrier,vegetable,False,False
"<image>
Is there a vegetable in this image?",No,yes,aircraft_carrier,vegetable,False,False
"<image>
Is there a vegetable in this image?",No,yes,aircraft_carrier,vegetable,False,False
"<image>
Is there a vegetable in this image?",No,yes,aircraft_carrier,vegetable,False,False
"<image>
Is there a vegetable in this image?",No,yes,aircraft_carrier,vegetable,False,False
"<image>
Is there a vegetable in this image?",No,yes,aircraft_carrier,vegetable,False,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a watercraft in this image?",Yes,yes,aircraft_carrier,watercraft,True,False
"<image>
Is there a home appliance in this image?",No,yes,aircraft_carrier,home appliance,False,False
"<image>
Is there a home appliance in this image?",No,yes,aircraft_carrier,home appliance,False,False
"<image>
Is there a home appliance in this image?",No,yes,aircraft_carrier,home appliance,False,False
"<image>
Is there a home appliance in this image?",No,yes,aircraft_carrier,home appliance,False,False
"<image>
Is there a home appliance in this image?",No,yes,aircraft_carrier,home appliance,False,False
"<image>
Is there a home appliance in this image?",No,yes,aircraft_carrier,home appliance,False,False
"<image>
Is there a vehicle in this image?",Yes,yes,airplane,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airplane,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,airplane,vehicle,True,False
"<image>
Is there a game in this image?",No,yes,airplane,game,False,False
"<image>
Is there a game in this image?",No,yes,airplane,game,False,False
"<image>
Is there a game in this image?",No,yes,airplane,game,False,False
"<image>
Is there an animal in this image?",Yes,yes,alligator,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alligator,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alligator,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alligator,animal,True,False
"<image>
Is there an outerwear in this image?",No,yes,alligator,outerwear,False,False
"<image>
Is there an outerwear in this image?",No,yes,alligator,outerwear,False,False
"<image>
Is there an outerwear in this image?",No,yes,alligator,outerwear,False,False
"<image>
Is there an outerwear in this image?",No,yes,alligator,outerwear,False,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there a food in this image?",Yes,yes,almond,food,True,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there seafood in this image?",No,yes,almond,seafood,False,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,alpaca,mammal,True,False
"<image>
Is there a weapon in this image?",No,yes,alpaca,weapon,False,False
"<image>
Is there a weapon in this image?",No,yes,alpaca,weapon,False,False
"<image>
Is there a weapon in this image?",No,yes,alpaca,weapon,False,False
"<image>
Is there a weapon in this image?",No,yes,alpaca,weapon,False,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,alpaca,animal,True,False
"<image>
Is there a clothing accessory in this image?",No,yes,alpaca,clothing accessory,False,False
"<image>
Is there a clothing accessory in this image?",No,yes,alpaca,clothing accessory,False,False
"<image>
Is there a clothing accessory in this image?",No,yes,alpaca,clothing accessory,False,False
"<image>
Is there a clothing accessory in this image?",No,yes,alpaca,clothing accessory,False,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there a vehicle in this image?",Yes,yes,ambulance,vehicle,True,False
"<image>
Is there sports equipment in this image?",No,no,ambulance,sports equipment,True,False
"<image>
Is there sports equipment in this image?",No,yes,ambulance,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,ambulance,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,no,ambulance,sports equipment,True,False
"<image>
Is there a piece of jewelry in this image?",Yes,yes,anklet,piece of jewelry,True,False
"<image>
Is there a piece of jewelry in this image?",Yes,yes,anklet,piece of jewelry,True,False
"<image>
Is there a piece of jewelry in this image?",Yes,yes,anklet,piece of jewelry,True,False
"<image>
Is there a farm animal in this image?",No,yes,anklet,farm animal,False,False
"<image>
Is there a farm animal in this image?",No,yes,anklet,farm animal,False,False
"<image>
Is there a farm animal in this image?",No,yes,anklet,farm animal,False,False
"<image>
Is there an insect in this image?",Yes,no,ant,insect,False,False
"<image>
Is there an insect in this image?",Yes,yes,ant,insect,True,False
"<image>
Is there an insect in this image?",Yes,yes,ant,insect,True,False
"<image>
Is there a plant in this image?",No,no,ant,plant,True,False
"<image>
Is there a plant in this image?",No,no,ant,plant,True,False
"<image>
Is there a plant in this image?",No,no,ant,plant,True,False
"<image>
Is there an animal in this image?",Yes,yes,ant,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,ant,animal,True,False
"<image>
Is there an animal in this image?",Yes,yes,ant,animal,True,False
"<image>
Is there a hardware item in this image?",No,no,ant,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,ant,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,ant,hardware item,True,False
"<image>
Is there a mammal in this image?",Yes,yes,anteater,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,anteater,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,anteater,mammal,True,False
"<image>
Is there an insect in this image?",No,no,anteater,insect,True,False
"<image>
Is there an insect in this image?",No,no,anteater,insect,True,False
"<image>
Is there an insect in this image?",No,no,anteater,insect,True,False
"<image>
Is there an animal in this image?",Yes,no,anteater,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,anteater,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,anteater,animal,False,False
"<image>
Is there a vehicle in this image?",No,no,anteater,vehicle,True,False
"<image>
Is there a vehicle in this image?",No,no,anteater,vehicle,True,False
"<image>
Is there a vehicle in this image?",No,no,anteater,vehicle,True,False
"<image>
Is there a mammal in this image?",Yes,yes,antelope,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,antelope,mammal,True,False
"<image>
Is there a mammal in this image?",Yes,yes,antelope,mammal,True,False
"<image>
Is there a hardware item in this image?",No,no,antelope,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,antelope,hardware item,True,False
"<image>
Is there a hardware item in this image?",No,no,antelope,hardware item,True,False
"<image>
Is there an animal in this image?",Yes,no,antelope,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,antelope,animal,False,False
"<image>
Is there an animal in this image?",Yes,no,antelope,animal,False,False
"<image>
Is there a garden tool in this image?",No,no,antelope,garden tool,True,False
"<image>
Is there a garden tool in this image?",No,no,antelope,garden tool,True,False
"<image>
Is there a garden tool in this image?",No,no,antelope,garden tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there a tool in this image?",Yes,yes,anvil,tool,True,False
"<image>
Is there sports equipment in this image?",No,yes,anvil,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,anvil,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,anvil,sports equipment,False,False
"<image>
Is there sports equipment in this image?",No,yes,anvil,sports equipment,False,False
"<image>
Is there a food in this image?",Yes,yes,apple,food,True,False
"<image>
Is there a food in this image?",Yes,yes,apple,food,True,False
"<image>
Is there a food in this image?",Yes,yes,apple,food,True,False
"<image>
Is there a car part in this image?",No,yes,apple,car part,False,False
"<image>
Is there a car part in this image?",No,yes,apple,car part,False,False
"<image>
Is there a car part in this image?",No,yes,apple,car part,False,False
"<image>
Is there a fruit in this image?",Yes,yes,apple,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,apple,fruit,True,False
"<image>
Is there a fruit in this image?",Yes,yes,apple,fruit,True,False
"<image>
Is there a source of light in this image?",No,yes,apple,source of light,False,False
"<image>
Is there a source of light in this image?",No,yes,apple,source of light,False,False
"<image>
Is there a source of light in this image?",No,yes,apple,source of light,False,False
"<image>
Is there a plant in this image?",Yes,yes,apple_tree,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,apple_tree,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,apple_tree,plant,True,False
"<image>
Is there an office supply item in this image?",No,yes,apple_tree,office supply item,False,False
"<image>
Is there an office supply item in this image?",No,no,apple_tree,office supply item,True,False
"<image>
Is there an office supply item in this image?",No,yes,apple_tree,office supply item,False,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a protective clothing item in this image?",Yes,yes,apron,protective clothing item,True,False
"<image>
Is there a dessert in this image?",No,yes,apron,dessert,False,False
"<image>
Is there a dessert in this image?",No,yes,apron,dessert,False,False
"<image>
Is there a dessert in this image?",No,yes,apron,dessert,False,False
"<image>
Is there a dessert in this image?",No,yes,apron,dessert,False,False
"<image>
Is there an item of clothing in this image?",Yes,yes,apron,item of clothing,True,False
"<image>
Is there an item of clothing in this image?",Yes,yes,apron,item of clothing,True,False
"<image>
Is there an item of clothing in this image?",Yes,yes,apron,item of clothing,True,False
"<image>
Is there an item of clothing in this image?",Yes,yes,apron,item of clothing,True,False
"<image>
Is there a drink in this image?",No,yes,apron,drink,False,False
"<image>
Is there a drink in this image?",No,yes,apron,drink,False,False
"<image>
Is there a drink in this image?",No,yes,apron,drink,False,False
"<image>
Is there a drink in this image?",No,yes,apron,drink,False,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there an outerwear in this image?",Yes,yes,apron,outerwear,True,False
"<image>
Is there a game in this image?",No,yes,apron,game,False,False
"<image>
Is there a game in this image?",No,yes,apron,game,False,False
"<image>
Is there a game in this image?",No,yes,apron,game,False,False
"<image>
Is there a game in this image?",No,yes,apron,game,False,False
"<image>
Is there a body part in this image?",Yes,no,arm,body part,False,False
"<image>
Is there a body part in this image?",Yes,yes,arm,body part,True,False
"<image>
Is there a body part in this image?",Yes,yes,arm,body part,True,False
"<image>
Is there a body part in this image?",Yes,yes,arm,body part,True,False
"<image>
Is there a dessert in this image?",No,no,arm,dessert,True,False
"<image>
Is there a dessert in this image?",No,yes,arm,dessert,False,False
"<image>
Is there a dessert in this image?",No,yes,arm,dessert,False,False
"<image>
Is there a dessert in this image?",No,yes,arm,dessert,False,False
"<image>
Is there a weapon in this image?",Yes,yes,arrow,weapon,True,False
"<image>
Is there a weapon in this image?",Yes,yes,arrow,weapon,True,False
"<image>
Is there a weapon in this image?",Yes,yes,arrow,weapon,True,False
"<image>
Is there a weapon in this image?",Yes,yes,arrow,weapon,True,False
"<image>
Is there a furniture in this image?",No,yes,arrow,furniture,False,False
"<image>
Is there a furniture in this image?",No,yes,arrow,furniture,False,False
"<image>
Is there a furniture in this image?",No,yes,arrow,furniture,False,False
"<image>
Is there a furniture in this image?",No,yes,arrow,furniture,False,False
"<image>
Is there a food in this image?",Yes,yes,artichoke,food,True,False
"<image>
Is there a food in this image?",Yes,yes,artichoke,food,True,False
"<image>
Is there a food in this image?",Yes,yes,artichoke,food,True,False
"<image>
Is there a hardware item in this image?",No,yes,artichoke,hardware item,False,False
"<image>
Is there a hardware item in this image?",No,yes,artichoke,hardware item,False,False
"<image>
Is there a hardware item in this image?",No,yes,artichoke,hardware item,False,False
"<image>
Is there a vegetable in this image?",Yes,yes,artichoke,vegetable,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,artichoke,vegetable,True,False
"<image>
Is there a vegetable in this image?",Yes,yes,artichoke,vegetable,True,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,artichoke,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,artichoke,piece of women's clothing,False,False
"<image>
Is there a piece of women's clothing in this image?",No,yes,artichoke,piece of women's clothing,False,False
"<image>
Is there a plant in this image?",Yes,yes,artichoke,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,artichoke,plant,True,False
"<image>
Is there a plant in this image?",Yes,yes,artichoke,plant,True,False
"<image>
Is there a watercraft in this image?",No,yes,artichoke,watercraft,False,False
"<image>
Is there a watercraft in this image?",No,yes,artichoke,watercraft,False,False
"<image>
Is there a watercraft in this image?",No,yes,artichoke,watercraft,False,False
"<image>
Is there a food in this image?",Yes,no,arugula,food,False,False
"<image>
Is there a food in this image?",Yes,no,arugula,food,False,False
"<image>
Is there a food in this image?",Yes,no,arugula,food,False,False
"<image>
Is there a food in this image?",Yes,no,arugula,food,False,False
"<image>
Is there medical equipment in this image?",No,yes,arugula,medical equipment,False,False
"<image>
Is there medical equipment in this image?",No,yes,arugula,medical equipment,False,False
"<image>
Is there medical equipment in this image?",No,yes,arugula,medical equipment,False,False
"<image>
Is there medical equipment in this image?",No,yes,arugula,medical equipment,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a vegetable in this image?",Yes,no,arugula,vegetable,False,False
"<image>
Is there a drink in this image?",No,yes,arugula,drink,False,False
"<image>
Is there a drink in this image?",No,yes,arugula,drink,False,False
"<image>
Is there a drink in this image?",No,yes,arugula,drink,False,False
"<image>
Is there a drink in this image?",No,yes,arugula,drink,False,False
"<image>
Is there a plant in this image?",Yes,yes,arugula,plant,True,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a plant in this image?",Yes,no,arugula,plant,False,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a bird in this image?",No,no,arugula,bird,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
"<image>
Is there a container in this image?",Yes,yes,ashtray,container,True,False
