question,answer,predicted_answer,relation,correct
"Question: <image>
What color is the tiny matte block left of the blue block?Answer:",gray,cyan,left,False
"Question: <image>
There is a small matte block that is on the left side of the large rubber thing that is left of the gray ball; what is its color?Answer:",brown,cyan,left,False
"Question: <image>
There is a small metallic thing in front of the gray metallic thing; does it have the same color as the big rubber sphere?Answer:",no,no,in front of,True
"Question: <image>
There is a small object; is it the same color as the object in front of the gray shiny thing?Answer:",no,no,in front of,True
"Question: <image>
There is a small gray metal ball; how many gray balls are on the right side of it?Answer:",0,0,right,True
"Question: <image>
What number of things are large yellow metallic balls or metallic things that are in front of the gray metallic sphere?Answer:",1,1,in front of,True
"Question: <image>
There is a metal object in front of the gray metal object; are there any big blue rubber blocks in front of it?Answer:",no,no,in front of,True
"Question: <image>
What color is the metallic thing behind the big metal object?Answer:",gray,blue,behind,False
"Question: <image>
Are there the same number of blue rubber cubes on the left side of the large blue thing and tiny green matte cylinders?Answer:",yes,no,left,False
"Question: <image>
What material is the tiny cube that is to the right of the blue thing?Answer:",rubber,metal,right,False
"Question: <image>
There is a cyan metal thing behind the cyan metal ball; what shape is it?Answer:",cylinder,cube,behind,False
"Question: <image>
Does the shiny object in front of the purple matte block have the same size as the small metallic cylinder?Answer:",yes,no,in front of,False
"Question: <image>
Is the thing behind the rubber thing made of the same material as the cube?Answer:",no,no,behind,True
"Question: <image>
Is the number of small cylinders that are left of the tiny shiny ball greater than the number of red metal balls?Answer:",no,no,left,True
"Question: <image>
There is a yellow object on the right side of the large yellow rubber cube; is its shape the same as the large gray metal object?Answer:",yes,no,right,False
"Question: <image>
There is a rubber thing that is in front of the purple object; what color is it?Answer:",blue,blue,in front of,True
"Question: <image>
There is a big yellow matte thing; how many rubber cubes are right of it?Answer:",1,0,right,False
"Question: <image>
Is the number of brown rubber cylinders that are on the right side of the tiny cyan ball less than the number of small cyan matte objects?Answer:",yes,no,right,False
"Question: <image>
Is the size of the green cube the same as the matte sphere that is in front of the green thing?Answer:",no,no,in front of,True
"Question: <image>
What number of rubber cubes are to the left of the metal ball?Answer:",0,0,left,True
