question,answer,predicted_answer,relation,correct
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the sphere to the right of the large rubber cube?Answer:
Out:",Yes,yes,right,True
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the small yellow rubber cylinder to the left of the large blue rubber cylinder?Answer:
Out:",Yes,no,left,False
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the small cyan cube behind the large blue rubber cylinder?Answer:
Out:",Yes,no,behind,False
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the small green metal cylinder in front of the small cyan cube?Answer:
Out:",Yes,no,in front of,False
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the small cyan rubber cylinder in front of the large gray metal cylinder?Answer:
Out:",Yes,no,in front of,False
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the large blue cube to the right of the small cyan rubber cylinder?Answer:
Out:",Yes,no,right,False
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the sphere to the right of the small yellow cube?Answer:
Out:",Yes,yes,right,True
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the small green metal cylinder behind the small blue metal cylinder?Answer:
Out:",No,no,behind,True
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the small brown metal cylinder in front of the large purple metal cube?Answer:
Out:",No,no,in front of,True
"In: You are a helpful language and vision assistant. You are able to understand the visual content that the user provides, and assist the user with a variety of tasks using natural language. By `behind` I mean further from the camera. By `in front of` I mean closer to the camera. By `left` I mean closer to the left edge of the image. By `right` I mean closer to the right edge of the image. Only answer with one word: `yes` or `no`.

Question: 
Is the large yellow rubber cube to the left of the small brown metal cylinder?Answer:
Out:",No,no,left,True
