question,answer,predicted_answer,relation,correct
"Question: <image>
Is the  green cylinder to the right of the sphere?Answer:",No,no,right,True
"Question: <image>
Is the small gray cube to the left of the sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the small green rubber sphere to the left of the cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the small gray metal sphere behind the small red rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the small yellow metal sphere behind the cylinder?Answer:",Yes,no,behind,False
"Question: <image>
Is the small brown cube behind the small green rubber sphere?Answer:",Yes,no,behind,False
"Question: <image>
Is the small red rubber sphere to the right of the small brown cube?Answer:",Yes,no,right,False
"Question: <image>
Is the small cyan rubber sphere to the right of the small red metal cube?Answer:",Yes,no,right,False
"Question: <image>
Is the  brown cylinder behind the large gray metal sphere?Answer:",No,no,behind,True
"Question: <image>
Is the small cyan rubber sphere to the right of the large green metal cube?Answer:",Yes,no,right,False
"Question: <image>
Is the large yellow rubber cube in front of the small yellow rubber sphere?Answer:",No,no,in front of,True
"Question: <image>
Is the large gray metal sphere to the left of the small yellow rubber sphere?Answer:",Yes,yes,left,True
"Question: <image>
Is the  cyan metal cylinder to the left of the  blue rubber sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the large yellow metal sphere to the left of the small brown rubber sphere?Answer:",Yes,no,left,False
"Question: <image>
Is the cylinder to the right of the small blue rubber sphere?Answer:",Yes,no,right,False
"Question: <image>
Is the  gray rubber cylinder in front of the  cyan rubber cylinder?Answer:",Yes,yes,in front of,True
"Question: <image>
Is the cube in front of the small purple metal cylinder?Answer:",No,no,in front of,True
"Question: <image>
Is the  green sphere behind the large brown rubber cylinder?Answer:",No,no,behind,True
"Question: <image>
Is the large blue metal cylinder to the left of the large purple rubber cylinder?Answer:",Yes,no,left,False
"Question: <image>
Is the  cyan cube in front of the  blue cube?Answer:",No,no,in front of,True
"Question: <image>
Is the large yellow metal cylinder in front of the sphere?Answer:",Yes,no,in front of,False
"Question: <image>
Is the  cyan cube behind the  brown cube?Answer:",No,no,behind,True
"Question: <image>
Is the  brown cube behind the small green metal cylinder?Answer:",No,no,behind,True
