question,answer,predicted_answer,relation,correct
"In: Question: 
Is the sphere to the right of the large rubber cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small yellow rubber cylinder to the left of the large blue rubber cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small cyan cube behind the large blue rubber cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small green metal cylinder in front of the small cyan cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small cyan rubber cylinder in front of the large gray metal cylinder?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large blue cube to the right of the small cyan rubber cylinder?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the sphere to the right of the small yellow cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small green metal cylinder behind the small blue metal cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small brown metal cylinder in front of the large purple metal cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large yellow rubber cube to the left of the small brown metal cylinder?Answer:
Out:",No,yes,left,False
"In: Question: 
Is the large yellow sphere to the left of the large gray rubber cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small blue metal cube to the right of the large yellow rubber cube?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small purple cylinder behind the large gray cylinder?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the large brown rubber sphere to the left of the small purple cylinder?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the  purple metal cube to the left of the large yellow metal sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small purple cylinder to the right of the small gray metal sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the  brown rubber cube behind the  purple metal cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the large purple metal sphere behind the small gray metal sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the  purple metal cube behind the small brown rubber sphere?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the  gray sphere to the right of the large gray rubber cube?Answer:
Out:",No,no,right,True
"In: Question: 
Is the  gray sphere to the left of the  brown sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the large gray rubber cube to the right of the small blue metal cube?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the  brown sphere to the right of the small gray rubber cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small metal cube in front of the large rubber cube?Answer:
Out:",No,yes,in front of,False
"In: Question: 
Is the large purple metal cube to the right of the small cyan cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the small red rubber sphere in front of the small red metal cube?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the large blue metal sphere to the right of the small red rubber sphere?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the large red metal sphere to the right of the cylinder?Answer:
Out:",No,no,right,True
"In: Question: 
Is the  yellow rubber cube in front of the large red metal sphere?Answer:
Out:",Yes,yes,in front of,True
"In: Question: 
Is the small gray rubber cylinder to the left of the small gray sphere?Answer:
Out:",Yes,yes,left,True
"In: Question: 
Is the small gray rubber cylinder to the right of the cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the cube behind the small brown metal cylinder?Answer:
Out:",No,yes,behind,False
"In: Question: 
Is the small brown metal cylinder to the left of the cube?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small brown rubber cylinder behind the cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small cyan metal cylinder behind the small gray sphere?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small gray sphere to the right of the cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small purple rubber sphere behind the large gray metal cube?Answer:
Out:",Yes,yes,behind,True
"In: Question: 
Is the small blue rubber sphere to the left of the large cyan metal sphere?Answer:
Out:",No,no,left,True
"In: Question: 
Is the small blue rubber sphere to the right of the small purple rubber sphere?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small green rubber sphere to the right of the large blue rubber cube?Answer:
Out:",Yes,yes,right,True
"In: Question: 
Is the small purple rubber sphere to the right of the  metal cylinder?Answer:
Out:",No,yes,right,False
"In: Question: 
Is the  yellow metal cube to the right of the  green rubber cube?Answer:
Out:",Yes,yes,right,True
